Ward Code,Ward Name,Council Name,Defending,Leading
E05007562,buckingham,adur,Con,Lab
E05007563,churchill,adur,Con,Lab
E05007564,cokeham,adur,Con,Lab
E05007565,eastbrook,adur,Con,Lab
E05007566,hillside,adur,Con,Lab
E05007567,manor,adur,Con,Con
E05007568,marine,adur,Ind,Ind
E05007569,mash barn,adur,Lab,Lab
E05007570,peverel,adur,Con,Lab
E05007573,southlands,adur,Lab,Lab
E05007574,southwick green,adur,Lab,Lab
E05007571,st marys,adur,Lab,Lab
E05007572,st nicolas,adur,Grn,Grn
E05007575,widewater,adur,Con,Lab
E05014696,crichsouth wingfield,amber valley,Con,Con
E05000976,central,barnsley,Lab,Lab
E05000977,cudworth,barnsley,Lab,Lab
E05000978,darfield,barnsley,Lab,Lab
E05000979,darton east,barnsley,LDem,LDem
E05000980,darton west,barnsley,Lab,Lab
E05000981,dearne north,barnsley,Lab,Lab
E05000982,dearne south,barnsley,Lab,Lab
E05000983,dodworth,barnsley,LDem,LDem
E05000984,hoyland milton,barnsley,Lab,Lab
E05000985,kingstone,barnsley,Lab,LDem
E05000986,monk bretton,barnsley,Lab,Lab
E05000987,north east,barnsley,Lab,Lab
E05000988,old town,barnsley,Lab,Lab
E05000989,penistone east,barnsley,Con,Lab
E05000990,penistone west,barnsley,LDem,LDem
E05000991,rockingham,barnsley,Lab,Lab
E05000992,royston,barnsley,Lab,Lab
E05000993,st helens,barnsley,Lab,Lab
E05000994,stairfoot,barnsley,Lab,Lab
E05000995,wombwell,barnsley,Lab,Lab
E05000996,worsbrough,barnsley,Lab,Lab
E05013078,basingupton grey,basingstokedeane,Con,Ind
E05013079,bramley,basingstokedeane,Con,IndGrp
E05013080,brighton hill,basingstokedeane,Lab,LDem
E05013081,brookvalekings furlong,basingstokedeane,Con,Con
E05013082,chineham,basingstokedeane,Con,Grn
E05013083,eastropgrove,basingstokedeane,LDem,LDem
E05013084,evingar,basingstokedeane,Con,Con
E05013085,hatch warrenbeggarwood,basingstokedeane,Con,Oth
E05013086,kempshottbuckskin,basingstokedeane,Con,Con
E05013087,norden,basingstokedeane,IndGrp,IndGrp
E05013088,oakleythe candovers,basingstokedeane,Con,IndGrp
E05013089,popley,basingstokedeane,Lab,Lab
E05013090,sherborne st johnrooksdown,basingstokedeane,Con,Con
E05013091,south ham,basingstokedeane,Lab,Lab
E05013092,tadleypamber,basingstokedeane,Con,LDem
E05013093,tadley north kingsclerebaughurst,basingstokedeane,Con,LDem
E05013094,whitchurch overtonlaverstoke,basingstokedeane,IndGrp,IndGrp
E05013095,winkleburymanydown,basingstokedeane,Con,Lab
E05014513,riverfield,bedford,LDem,LDem
E05011128,bournbrookselly park,birmingham,Lab,Lab
E05011508,audleyqueens park,blackburn with darwen,Con,Ind
E05011509,bastwelldaisyfield,blackburn with darwen,Lab,Ind
E05011510,billingebeardwood,blackburn with darwen,Lab,Ind
E05011511,blackburn central,blackburn with darwen,Lab,Ind
E05011512,blackburn southlower darwen,blackburn with darwen,Con,Lab
E05011513,blackburn south east,blackburn with darwen,Lab,Lab
E05011514,darwen east,blackburn with darwen,Lab,Lab
E05011515,darwen south,blackburn with darwen,Con,Lab
E05011516,darwen west,blackburn with darwen,Lab,Lab
E05011517,ewood,blackburn with darwen,Con,Lab
E05011518,little harwoodwhitebirk,blackburn with darwen,Lab,Ind
E05011519,livesey with pleasington,blackburn with darwen,Con,Con
E05011520,mill hillmoorgate,blackburn with darwen,Lab,Lab
E05011521,roe lee,blackburn with darwen,Lab,Ind
E05011522,shear browcorporation park,blackburn with darwen,Lab,Ind
E05011523,wensley fold,blackburn with darwen,Lab,Ind
E05011524,west pennine,blackburn with darwen,Con,Con
E05014818,astley bridge,bolton,Con,Con
E05014819,bradshaw,bolton,Con,Lab
E05014820,breightmet,bolton,Lab,Lab
E05014821,bromley cross,bolton,Con,Con
E05014822,farnworth north,bolton,Lab,Lab
E05014823,farnworth south,bolton,IndGrp,IndGrp
E05014824,great lever,bolton,Lab,Lab
E05014825,halliwell,bolton,Lab,Grn
E05014826,heaton lostockchew moor,bolton,Con,Con
E05014827,horwich north,bolton,IndGrp,IndGrp
E05014828,horwich southblackrod,bolton,IndGrp,IndGrp
E05014829,hulton,bolton,Lab,Lab
E05014830,kearsley,bolton,IndGrp,IndGrp
E05014831,little leverdarcy lever,bolton,Con,Lab
E05014832,queens parkcentral,bolton,Lab,Lab
E05014833,rumworth,bolton,Lab,Ind
E05014834,smithills,bolton,LDem,LDem
E05014835,tonge with the haulgh,bolton,Lab,Lab
E05014836,westhoughton northhunger hill,bolton,LDem,LDem
E05014837,westhoughton south,bolton,Lab,Lab
E05012656,canford cliffs,bournemouth christchurchpoole,Con,Con
E05001341,baildon,bradford,Con,Con
E05001342,bingley,bradford,Lab,Lab
E05001343,bingley rural,bradford,Con,Con
E05001344,boltonundercliffe,bradford,Lab,Ind
E05001345,bowlingbarkerend,bradford,Lab,Ind
E05001346,bradford moor,bradford,LDem,LDem
E05001347,city,bradford,Lab,Ind
E05001348,claytonfairweather green,bradford,Lab,Lab
E05001349,craven,bradford,Con,Grn
E05001350,eccleshill,bradford,LDem,LDem
E05001351,great horton,bradford,Lab,Lab
E05001352,heaton,bradford,Lab,Ind
E05001353,idlethackley,bradford,LDem,LDem
E05001354,ilkley,bradford,Ind,Grn
E05001355,keighley central,bradford,Lab,Lab
E05001356,keighley east,bradford,Lab,Lab
E05001357,keighley west,bradford,Con,Lab
E05001358,little horton,bradford,Ind,Ind
E05001359,manningham,bradford,Lab,Ind
E05001360,queensbury,bradford,Con,Ind
E05001361,royds,bradford,Lab,Lab
E05001362,shipley,bradford,Grn,Grn
E05001363,thorntonallerton,bradford,Lab,Lab
E05001364,toller,bradford,Lab,Ind
E05001365,tong,bradford,Grn,Grn
E05001366,wharfedale,bradford,Con,Con
E05001367,wibsey,bradford,Lab,Lab
E05001368,windhillwrose,bradford,Lab,Lab
E05001369,worth valley,bradford,Con,Con
E05001370,wyke,bradford,Con,Lab
E05010248,hermitage,breckland,LDem,Con
E05015405,kemptown,brightonhove,Lab,
E05015410,queens park,brightonhove,Lab,
E05014005,shortlandspark langley,bromley,Con,Con
E05009002,broxbournehoddesdon south,broxbourne,Con,Con
E05009003,cheshunt north,broxbourne,Con,Con
E05009004,cheshunt souththeobalds,broxbourne,Con,Con
E05009005,flamstead end,broxbourne,Con,Con
E05009006,goffs oak,broxbourne,Con,Con
E05009007,hoddesdon north,broxbourne,Con,Con
E05009008,hoddesdon townrye park,broxbourne,Con,Con
E05009009,rosedalebury green,broxbourne,Con,Con
E05009010,waltham cross,broxbourne,Lab,Lab
E05009011,wormleyturnford,broxbourne,Con,Con
E05010514,attenboroughchilwell east,broxtowe,Lab,Lab
E05005150,bank hall,burnley,Lab,Ind
E05005151,briercliffe,burnley,LDem,LDem
E05005152,brunshaw,burnley,Grn,Lab
E05005153,cliviger with worsthorne,burnley,Grn,Con
E05005154,coal clough with deerplay,burnley,LDem,LDem
E05005155,daneshouse with stoneyholme,burnley,Lab,Ind
E05005156,gannow,burnley,IndGrp,Lab
E05005157,gawthorpe,burnley,Con,Lab
E05005158,hapton with park,burnley,Con,Con
E05005159,lanehead,burnley,Lab,Lab
E05005160,queensgate,burnley,Lab,Ind
E05005161,rosegrove with lowerhouse,burnley,Lab,Lab
E05005162,rosehill with burnley wood,burnley,Con,Lab
E05005163,trinity,burnley,Grn,Grn
E05005164,whittlefield with ightenhill,burnley,Con,Con
E05014152,besses,bury,Lab,Lab
E05014153,bury east,bury,Lab,Lab
E05014154,bury west,bury,Con,Con
E05014155,elton,bury,Lab,Lab
E05014156,holyrood,bury,Lab,Lab
E05014157,moorside,bury,Lab,Lab
E05014158,north manor,bury,Con,Lab
E05014159,pilkington park,bury,Lab,Lab
E05014160,radcliffe east,bury,IndGrp,IndGrp
E05014161,radcliffe northainsworth,bury,Con,IndGrp
E05014162,radcliffe west,bury,IndGrp,IndGrp
E05014163,ramsbottom,bury,Lab,Lab
E05014164,redvales,bury,Lab,Lab
E05014165,sedgley,bury,Lab,Lab
E05014166,st marys,bury,Lab,Lab
E05014167,tottington,bury,Con,Con
E05014168,unsworth,bury,Lab,Lab
E05001371,brighouse,calderdale,Con,Con
E05001372,calder,calderdale,Lab,Lab
E05001373,elland,calderdale,Con,Con
E05001374,greetlandstainland,calderdale,LDem,LDem
E05001375,hipperholmelightcliffe,calderdale,Con,Con
E05001376,illingworthmixenden,calderdale,Con,Lab
E05001377,luddendenfoot,calderdale,Lab,Lab
E05001378,northowramshelf,calderdale,Con,Grn
E05001379,ovenden,calderdale,Lab,Lab
E05001380,park,calderdale,Lab,Oth
E05001381,rastrick,calderdale,Con,Lab
E05001382,ryburn,calderdale,Con,Lab
E05001383,skircoat,calderdale,Lab,Lab
E05001384,sowerby bridge,calderdale,Lab,Lab
E05001385,todmorden,calderdale,Lab,Lab
E05001386,town,calderdale,Lab,Lab
E05001387,warley,calderdale,LDem,LDem
E05013050,abbey,cambridge,Grn,Grn
E05013051,arbury,cambridge,Lab,Lab
E05013052,castle,cambridge,Lab,Lab
E05013053,cherry hinton,cambridge,Lab,Lab
E05013054,coleridge,cambridge,Lab,Lab
E05013055,east chesterton,cambridge,Lab,Lab
E05013056,kings hedges,cambridge,Lab,Lab
E05013057,market,cambridge,LDem,LDem
E05013058,newnham,cambridge,LDem,Grn
E05013059,petersfield,cambridge,Lab,Lab
E05013060,queeniths,cambridge,Ind,LDem
E05013061,romsey,cambridge,Lab,Lab
E05013062,trumpington,cambridge,LDem,LDem
E05013063,west chesterton,cambridge,Lab,Lab
E05013657,frognal,camden,Con,Con
E05014673,loughborough east,charnwood,Lab,Lab
E05011348,adderbury bloxhambodicote,cherwell,Con,LDem
E05011349,banbury calthorpeeasington,cherwell,Con,Con
E05010921,banbury crossneithrop,cherwell,Lab,Lab
E05010922,banbury grimsburyhightown,cherwell,Lab,Lab
E05010923,banbury hardwick,cherwell,Con,Lab
E05010924,banbury ruscote,cherwell,Lab,Lab
E05010925,bicester east,cherwell,Con,LDem
E05010926,bicester northcaversfield,cherwell,Con,LDem
E05012968,bicester southambrosden,cherwell,Con,LDem
E05010928,bicester west,cherwell,Ind,Ind
E05010929,cropredy sibfordswroxton,cherwell,Con,LDem
E05010930,deddington,cherwell,Con,Con
E05012969,fringfordheyfords,cherwell,Con,LDem
E05010932,kidlington east,cherwell,Con,Grn
E05010933,kidlington west,cherwell,LDem,LDem
E05010934,launtonotmoor,cherwell,Con,LDem
E05012253,wolverham,cheshire westchester,Lab,Lab
E05013064,adlingtonanderton,chorley,Lab,Lab
E05013065,buckshawwhittle,chorley,Con,Lab
E05013066,chorley east,chorley,Lab,Lab
E05013069,chorley northastley,chorley,Lab,Lab
E05013067,chorley north east,chorley,Lab,Lab
E05013068,chorley north west,chorley,Lab,Lab
E05013070,chorley south eastheath charnock,chorley,Lab,Lab
E05013071,chorley south west,chorley,Lab,Lab
E05013072,clayton east brindlehoghton,chorley,Con,Lab
E05013073,clayton westcuerden,chorley,Lab,Lab
E05013074,coppull,chorley,Lab,Lab
E05013075,croston mawdesleyeuxton south,chorley,Con,Con
E05013076,eccleston heskincharnock richard,chorley,Lab,Lab
E05013077,euxton,chorley,Lab,Lab
E05010827,berechurch,colchester,Lab,Lab
E05010828,castle,colchester,Grn,Grn
E05010829,greenstead,colchester,Lab,Lab
E05010830,highwoods,colchester,Con,LDem
E05010831,lexdenbraiswick,colchester,Con,Con
E05010832,marks teylayer,colchester,Con,Con
E05010833,merseapyefleet,colchester,Con,Con
E05010834,mile end,colchester,LDem,LDem
E05010835,new townchrist church,colchester,Lab,Lab
E05010836,old heaththe hythe,colchester,Lab,Lab
E05010837,prettygate,colchester,Con,Con
E05010838,rural north,colchester,Con,Con
E05010840,shrub end,colchester,LDem,Lab
E05010839,st annesst johns,colchester,LDem,LDem
E05010841,stanway,colchester,Con,Con
E05010842,tiptree,colchester,Con,Con
E05010843,wivenhoe,colchester,LDem,LDem
E05009065,horden,county durham,Lab,Lab
E05001218,bablake,coventry,Con,Lab
E05001219,binleywillenhall,coventry,Lab,Lab
E05001220,cheylesmore,coventry,Con,Con
E05001221,earlsdon,coventry,Lab,Lab
E05001222,foleshill,coventry,Lab,Lab
E05001223,henley,coventry,Lab,Lab
E05001224,holbrook,coventry,Lab,Lab
E05001225,longford,coventry,Lab,Lab
E05001226,lower stoke,coventry,Lab,Lab
E05001227,radford,coventry,Lab,Lab
E05001229,sherbourne,coventry,Con,Lab
E05001228,st michaels,coventry,Lab,Lab
E05001230,upper stoke,coventry,Lab,Lab
E05001231,wainbody,coventry,Con,Con
E05001232,westwood,coventry,Con,Lab
E05001233,whoberley,coventry,Lab,Lab
E05001234,woodlands,coventry,Con,Con
E05001235,wyken,coventry,Lab,Lab
E05012914,bewbushnorth broadfield,crawley,Lab,Lab
E05012915,broadfield,crawley,Lab,Lab
E05012917,gossops greennorth east broadfield,crawley,Con,Lab
E05012918,ifield,crawley,Con,Lab
E05012919,langley greentushmore,crawley,Lab,Lab
